category,label,query_template,tags,refresh_cadence
adventure,Go Karting,"go kart racing in {city}","go-kart,action,group",monthly
adventure,Rage Rooms,"rage rooms in {city}","rage-room,action,unique",monthly
adventure,Arcades,"best arcades in {city}","arcade,games,group",monthly
adventure,Golf,"golf courses and driving ranges in {city}","golf,sports,group",monthly
culture,Museums,"best museums in {city}","museum,culture,family",monthly
culture,Art Galleries,"art galleries in {city}","gallery,art,culture",monthly
culture,Historical Tours,"historical tours in {city}","history,tour,culture",monthly
culture,Architecture Tours,"architecture tours in {city}","architecture,tour,culture",monthly
culture,Local Landmarks,"local landmarks in {city}","landmark,tourism,photo",monthly
family,Family Activities,"family friendly things to do in {city}","family,kids,safe",monthly
family,Aquariums Zoos,"aquariums and zoos in {city}","family,zoo,aquarium",monthly
family,Bowling Mini Golf,"bowling and mini golf in {city}","family,games,group",monthly
waterfront,Waterfront Restaurants,"waterfront restaurants in {city}","waterfront,dining,views",weekly
waterfront,Boat Cruises,"boat cruises in {city}","boat,waterfront,activity",monthly
waterfront,Beach Day,"best beaches near {city}","beach,waterfront,daytime",monthly
waterfront,Riverwalk,"riverwalk things to do in {city}","riverwalk,waterfront,scenic",monthly
